packet_count,rate,unique_ports,avg_packet_size,tcp_flag_sum,label
1,0.2,0,98.0,0,0
1247,249.4,0,98.0,0,2
400,80.0,0,98.0,0,0
1054,210.8,0,98.0,0,2
393,78.6,0,98.0,0,0
1046,209.2,0,98.0,0,2
386,77.2,0,98.0,0,0
1069,213.8,0,98.0,0,2
395,79.0,0,98.0,0,0
396,79.2,0,98.0,0,0
1076,215.2,0,98.0,0,2
432,86.4,0,98.0,0,0
1044,208.8,0,98.0,0,2
410,82.0,0,98.0,0,0
1183,236.6,0,98.0,0,2
1153,230.6,0,98.0,0,2
361,72.2,0,98.0,0,0
1241,248.2,0,98.0,0,2
344,68.8,0,98.0,0,0
1202,240.4,0,98.0,0,2
362,72.4,0,98.0,0,0
1180,236.0,0,98.0,0,2
333,66.6,0,98.0,0,0
331,66.2,0,98.0,0,0
1237,247.4,0,98.0,0,2
1230,246.0,0,98.0,0,2
351,70.2,0,98.0,0,0
354,70.8,0,98.0,0,0
1129,225.8,0,98.0,0,2
1123,224.6,0,98.0,0,2
360,72.0,0,98.0,0,0
1227,245.4,0,98.0,0,2
356,71.2,0,98.0,0,0
1141,228.2,0,98.0,0,2
385,77.0,0,98.0,0,0
462,92.4,1,97.91341991341992,2,0
118,23.6,0,98.0,0,0
